HappyGene|03133000111120113033313121022122121313331131101131
3L1M0N4T0R|11121111111111313111031113111111113211113303131313
Infecto|10111111111111111111110111111111111111111111111111
Darwin|30100000111122203333210132112202332202111132331301
Geneus|30333333333333333333333333333333333333333333333333
NewJeans|33333333333333333333333333333333333333100100100100
Juju|00000000000000003333333333111111222333111000000333
Paccident|10112310231121101111101111111222232111212220232111
Zacho|01303320323303122003303323023131022332211230203113
philip|03103120003232202033331121112113212203131131312330
RNG4TheWin|0000000011112222333311100011112223330000111222333000
DLPT|10113012131111111011111111111120111112102111323101
PAC_MIGHT|00020000101120220030121123121113123323202303101310
JT|10111111111111111111123111111111111111111111111111
garen|03100200113122303003322121033122112212111110113321
GeneWildest|33020000111122203330212232211232232232130130032331
MiteOfMight|30333320101123233333112111311112111301333330313311
geneureka|30333333133333333333333333333333333313333333333303
PixelPredator|00330300131322233333333133333333333333113113111110
DarkHorse|01000000010300000103133323223213223233313313323313
pizzapizza|3333111111111111111133311133333333333311111111111
fmh|33333333333333333333230333333333333333333333000000
cybergene|33333333333333333333333333222222222222222333333333
EuGene|10111111111113111111111111111111111111111111311111
GeneSimmons|13021100131122313300222221121220131111123100031331
PacWarrior|33113313011021113313113223323123310123311223020300
simpleGene|30333333333333333333333333333333333333333333333333
Krispy|11112222111122221111333111111222111333222111333111
coolgeen|31321203032321230023222202333221321210301131121211




